q-max	action	timestep
1.779	NOOP	1044
2.371	LEFT	1077
1.930	LEFT	1120
2.428	FIRE	1232
1.922	NOOP	1251
2.328	LEFT	1297
2.487	NOOP	1336
1.825	LEFT	7
2.520	LEFT	36
2.078	RIGHT	98
1.819	NOOP	144
1.918	NOOP	149
1.932	RIGHT	245
2.394	LEFT	310
2.311	RIGHT	497
1.907	RIGHT	905
2.121	RIGHT	926
2.478	RIGHT	945
1.894	RIGHT	966
2.009	LEFT	1017
2.627	LEFT	1040
2.867	FIRE	1095
3.161	FIRE	1099
2.630	FIRE	1365
1.904	FIRE	1646
2.879	FIRE	1749
3.022	FIRE	1916
2.477	NOOP	218
1.861	NOOP	252
2.566	LEFT	356
2.517	FIRE	475
1.772	NOOP	482
2.067	NOOP	557
2.151	NOOP	778
2.151	NOOP	870
2.093	RIGHT	1088
2.577	FIRE	1109
2.092	FIRE	1184
2.177	FIRE	1355
2.168	FIRE	1402
2.159	RIGHT	1464
2.753	FIRE	1490
2.211	LEFT	1504
2.771	LEFT	1603
2.689	LEFT	1736
1.838	NOOP	245
2.088	NOOP	330
1.687	LEFT	567
1.977	LEFT	717
2.486	LEFT	1052
1.974	NOOP	1141
2.397	NOOP	1222
2.143	NOOP	1282
3.002	NOOP	1401
2.398	NOOP	1654
2.422	NOOP	1721
3.268	FIRE	1845
2.919	FIRE	1862
3.360	FIRE	1890
3.448	FIRE	1977
12.001	NOOP	2022
10.495	NOOP	2023
1.789	NOOP	8
1.880	NOOP	15
1.983	NOOP	21
2.413	LEFT	36
2.612	FIRE	42
2.631	FIRE	43
2.395	LEFT	77
2.589	FIRE	84
2.161	NOOP	243
1.925	NOOP	403
1.916	NOOP	404
2.089	LEFT	765
1.760	NOOP	807
1.717	FIRE	960
2.435	NOOP	996
2.769	FIRE	1125
2.697	FIRE	1397
2.960	FIRE	1489
2.006	RIGHT	253
2.324	NOOP	260
2.309	NOOP	293
2.487	LEFT	300
2.086	RIGHT	602
2.280	NOOP	635
2.484	LEFT	673
2.621	FIRE	715
2.055	LEFT	761
2.050	NOOP	859
1.968	NOOP	1084
2.631	LEFT	1209
2.801	LEFT	1217
1.896	NOOP	1280
2.449	NOOP	1340
2.801	FIRE	1348
2.357	NOOP	1373
3.097	FIRE	1526
3.011	FIRE	1547
2.534	FIRE	1563
2.962	FIRE	1569
2.958	FIRE	1571
3.290	RIGHT	1756
3.008	NOOP	1931
1.688	NOOP	124
1.902	NOOP	261
1.885	RIGHT	262
2.358	FIRE	306
2.541	LEFT	363
1.948	RIGHT	392
1.667	NOOP	437
1.705	NOOP	442
1.724	NOOP	444
2.066	NOOP	507
2.398	LEFT	533
2.524	LEFT	540
2.677	FIRE	595
2.594	FIRE	688
1.936	RIGHT	731
2.358	NOOP	853
1.914	RIGHT	904
2.324	LEFT	918
2.646	FIRE	961
2.589	LEFT	1025
2.717	RIGHT	1303
3.516	FIRE	1361
2.465	RIGHT	1643
2.532	RIGHT	1655
2.447	LEFT	1677
2.048	NOOP	29
2.379	LEFT	53
1.904	NOOP	208
2.558	LEFT	264
2.079	NOOP	616
1.744	RIGHT	959
2.104	NOOP	1105
2.482	NOOP	1116
2.481	NOOP	1206
2.796	RIGHT	1652
3.540	FIRE	1731
2.921	FIRE	1888
2.010	NOOP	17
1.939	NOOP	58
2.402	LEFT	74
1.713	NOOP	89
1.965	NOOP	160
1.831	NOOP	255
1.829	NOOP	285
2.527	FIRE	451
2.524	FIRE	598
